1,1636535,8,7,2741
1,1628588,9,8,1853
1,155771,10,9,1131
1,1223454,11,10,784
1,1395047,12,11,551
1,982769,13,12,385
1,655014,14,13,277
1,1842895,15,14,233
1,905994,16,15,161
1,1633294,17,16,107
1,1360511,18,17,96
1,461403,19,18,64
1,878094,20,19,57
1,42864,21,20,54
1,25736,22,21,47
1,597982,23,22,28
1,1682901,24,23,28
1,35227,25,24,26
1,1004575,26,25,21
1,482288,27,26,15
1,79301,28,27,15
1,202638,29,28,10
1,556177,30,29,11
1,99870,31,30,20
1,1172896,32,31,12
1,731724,33,32,6
1,1813023,34,33,6
1,41451,35,34,6
1,787801,36,35,7
1,1859454,37,36,3
1,59485,38,37,5
1,474682,39,38,2
1,952160,40,39,4
1,794494,41,40,1
1,1749522,42,41,3
1,341034,43,42,1
1,1290227,44,43,2
1,667871,45,44,2
1,1018293,46,45,3
1,1442443,47,46,5
1,941340,48,47,4
1,1604194,50,49,1
1,1358498,51,50,1
1,1376472,52,51,1
