1,2,0
6,1,0
723,1,0
880,1,0
892,2,0
1508,3,0
1765,1,0
1895,2,0
2080,1,0
2102,1,0
2652,3,0
5038,1,0
5958,1,0
6224,1,0
7188,1,0
7855,1,0
8165,1,0
3,4,0
362,1,0
506,3,0
518,1,0
549,5,0
670,1,0
1083,4,3
1568,4,0
1591,1,0
1634,2,0
1654,1,0
2135,1,0
2594,1,0
2832,1,0
2859,4,1
3174,1,1
3491,1,2
3548,1,0
3651,1,0
3971,1,0
3999,2,0
5062,1,0
5355,1,2
5473,1,0
5981,1,0
6634,1,0
6659,1,0
6793,1,0
7019,1,0
7107,1,0
7393,1,0
1906,3,0
18408,2,2
18472,1,1
7,1,0
8,1,2
2211,8,0
18656,1,1
18657,1,1
48,1,2
1019,1,3
1900,1,0
1968,2,4
2247,1,0
2561,1,0
4011,1,0
6223,1,0
6678,1,1
15,1,1
16,1,3
18,1,0
5626,1,1
18859,1,0
18860,1,0
835,1,1
1503,1,0
1602,1,4
1907,1,0
2027,1,2
5125,1,0
5135,1,0
5435,1,4
7027,1,1
7028,1,6
121,8,6
18928,2,1
18929,2,1
20,2,0
56,1,0
497,1,2
509,1,0
1079,2,2
1539,1,0
1585,1,0
1923,2,0
2064,1,5
2997,2,2
3037,2,0
3556,1,0
3834,1,0
4770,1,0
5299,1,2
5678,1,0
5758,1,0
6085,1,2
6255,1,0
7369,1,0
26,3,1
326,1,0
993,1,2
1228,1,1
1524,3,0
1615,3,2
1836,1,0
2088,1,0
2418,1,0
2438,1,0
2558,3,2
2793,1,0
3010,1,0
3030,3,0
3676,4,0
4267,1,0
4657,3,0
5269,1,0
5848,2,0
6481,2,0
6864,1,0
29,1,0
5075,1,0
6474,1,0
6545,1,7
31,1,0
32,2,3
2330,9,3
18816,1,0
18817,1,1
85,2,0
192,1,1
290,2,0
308,2,4
428,5,0
985,1,0
1978,1,0
2424,1,0
2882,1,0
3242,1,0
3298,2,0
4116,2,2
4393,1,0
4835,1,0
5056,1,0
5616,2,2
6050,1,0
6153,1,0
7490,1,0
36,1,1
1736,2,0
1992,1,0
3685,1,0
4899,1,0
4959,1,0
5922,1,0
5923,1,2
6719,1,0
6721,1,0
6722,1,0
42,2,1
60,1,0
224,1,3
577,1,0
737,1,0
832,2,0
1058,1,0
1154,1,0
1159,1,0
1179,1,0
1449,1,2
1504,3,0
1566,1,0
1742,1,2
1963,1,0
2190,1,0
2299,1,0
2387,1,2
2410,1,0
2669,1,0
2876,1,0
3160,1,0
3161,2,0
3162,1,0
3274,1,1
3319,1,0
3409,1,0
3476,1,3
3477,1,2
3943,1,0
4115,1,2
4135,1,0
4272,3,0
4307,1,0
4310,2,0
4316,1,2
4324,1,0
4329,1,0
4334,1,0
4339,1,0
4341,1,0
4342,1,0
4348,1,2
4351,1,0
4365,1,0
4366,1,0
4367,1,0
4377,1,0
53,1,0
5733,3,0
18490,7,1
18658,1,1
191,3,3
1744,4,0
18420,6,0
18441,1,1
6420,2,0
18756,1,1
18757,1,1
63,1,2
64,1,3
67,1,0
1883,2,1
19000,1,1
19001,1,1
477,1,4
1550,2,0
2753,1,0
4286,1,1
4420,1,0
6053,1,4
6890,1,0
109,2,4
18383,1,1
18384,1,1
69,1,0
975,2,0
4288,1,0
5456,1,0
5458,1,0
76,7,2
77,7,0
79,7,1
4094,8,0
18519,7,3
18520,7,3
1103,8,0
1351,2,3
1560,2,1
1575,2,0
1627,7,2
2184,6,1
2530,7,0
2728,1,2
3029,1,0
3363,5,0
4179,5,0
4183,1,0
4186,2,0
4188,1,1
2918,7,0
4626,8,4
5291,1,1
81,3,0
260,2,1
1561,1,0
2015,1,0
2560,1,0
2755,1,0
3051,3,0
3855,1,0
3892,4,0
4905,2,0
5531,1,0
6047,2,0
6712,4,0
6714,3,3
87,1,0
5261,2,0
18808,2,1
18809,2,1
2860,3,0
4943,3,0
19261,1,1
90,1,0
2912,1,2
4422,1,3
5123,1,1
6630,1,3
95,1,0
2618,2,2
19086,1,1
19087,1,1
99,2,2
100,2,1
102,1,6
105,8,0
18594,2,1
18595,2,1
325,1,0
462,10,0
582,2,0
633,1,0
982,1,1
983,1,0
1211,2,0
2084,1,0
2746,1,0
3080,1,0
5540,1,6
5800,1,0
5925,2,0
5964,1,0
5965,2,0
5966,1,0
5967,1,0
395,1,5
769,2,0
2577,1,3
18608,1,1
18609,1,1
2002,9,1
2214,2,1
5734,7,2
18899,8,8
18900,8,8
1106,1,0
1639,1,0
1675,1,0
1725,1,2
1982,2,3
1988,2,1
2079,1,0
2265,1,0
2479,1,0
2910,2,2
3964,3,0
4022,1,0
4409,1,0
4714,1,1
5130,2,3
5247,1,0
5304,2,5
5719,1,0
5871,1,0
6964,2,0
135,1,0
220,3,0
359,1,2
360,8,7
791,2,0
823,8,7
1059,2,0
1060,1,0
1061,1,0
1143,1,0
1433,1,0
1830,1,0
1908,8,5
1995,1,0
2060,2,1
2113,1,0
2390,8,7
2391,1,0
2457,1,0
2538,3,0
2895,8,0
3723,2,0
3853,1,0
3959,4,1
4266,1,1
4764,1,0
5183,2,1
5245,5,0
5319,1,0
5428,1,0
6306,2,0
6370,1,0
6435,1,0
6552,1,0
6815,1,0
6871,7,0
6888,2,0
7132,1,0
7218,1,0
7667,7,0
7899,3,0
7902,1,0
7911,2,0
123,1,0
124,1,1
18404,5,0
18414,1,1
